priority,url,date_submitted,status_day_3,status_day_7,status_day_14,clicks_day_14,impressions_day_14,avg_position_day_14,notes
P0,https://vibetrading.fun/blog/ai-trading-for-beginners,,,,,,,,
P0,https://vibetrading.fun/blog/ai-trading-platform,,,,,,,,
P0,https://vibetrading.fun/blog/best-ai-trading-bots-2026,,,,,,,,
P0,https://vibetrading.fun/blog/does-ai-trading-really-work,,,,,,,,
P0,https://vibetrading.fun/blog/top-ai-trading-github-projects-2026,,,,,,,,
P1,https://vibetrading.fun/blog/ai-day-trading-strategies,,,,,,,,
P1,https://vibetrading.fun/blog/ai-hedge-fund-multi-agent-walkthrough,,,,,,,,
P1,https://vibetrading.fun/blog/ai-trader-agent-copy-trading-guide,,,,,,,,
P1,https://vibetrading.fun/blog/ai-trading-data-pipeline-explained,,,,,,,,
P1,https://vibetrading.fun/blog/ai-trading-performance-metrics-guide,,,,,,,,
P1,https://vibetrading.fun/blog/ai-trading-risk-management-framework,,,,,,,,
P1,https://vibetrading.fun/blog/ai-trading-vs-algorithmic-trading,,,,,,,,
P1,https://vibetrading.fun/blog/backtrader-backtesting-basics,,,,,,,,
P1,https://vibetrading.fun/blog/claude-code-trading-agent-alpaca,,,,,,,,
P1,https://vibetrading.fun/blog/fingpt-news-sentiment-trading-signal,,,,,,,,
P1,https://vibetrading.fun/blog/finrl-reinforcement-learning-trading-bot,,,,,,,,
P1,https://vibetrading.fun/blog/freqtrade-beginner-guide-crypto-bot,,,,,,,,
P1,https://vibetrading.fun/blog/machine-learning-trading-overview,,,,,,,,
P1,https://vibetrading.fun/blog/openbb-python-quant-research-stack,,,,,,,,
P1,https://vibetrading.fun/blog/quantconnect-lean-first-algo,,,,,,,,
P1,https://vibetrading.fun/blog/tradingagents-multi-agent-setup,,,,,,,,
P2,https://vibetrading.fun/blog/ai-breakout-strategy-setup,,,,,,,,
P2,https://vibetrading.fun/blog/ai-correlation-hedging,,,,,,,,
P2,https://vibetrading.fun/blog/ai-earnings-volatility-strategy,,,,,,,,
P2,https://vibetrading.fun/blog/ai-kelly-criterion-position-sizing,,,,,,,,
P2,https://vibetrading.fun/blog/ai-long-short-equity-strategy,,,,,,,,
P2,https://vibetrading.fun/blog/ai-momentum-strategy-python,,,,,,,,
P2,https://vibetrading.fun/blog/ai-multi-factor-ranking,,,,,,,,
P2,https://vibetrading.fun/blog/ai-news-event-trading,,,,,,,,
P2,https://vibetrading.fun/blog/ai-pairs-trading-cointegration,,,,,,,,
P2,https://vibetrading.fun/blog/ai-risk-parity-portfolio,,,,,,,,
P2,https://vibetrading.fun/blog/ai-sector-rotation-strategy,,,,,,,,
P2,https://vibetrading.fun/blog/ai-social-sentiment-strategy,,,,,,,,
P2,https://vibetrading.fun/blog/ai-stop-loss-dynamic-atr,,,,,,,,
P2,https://vibetrading.fun/blog/ai-strategy-comparison-framework,,,,,,,,
P2,https://vibetrading.fun/blog/ai-trading-scams-case-studies-2026,,,,,,,,
P2,https://vibetrading.fun/blog/ai-trading-scams-red-flags,,,,,,,,
P2,https://vibetrading.fun/blog/ai-trend-following-vs-mean-reversion,,,,,,,,
P2,https://vibetrading.fun/blog/backtest-vs-live-pnl-gap,,,,,,,,
P2,https://vibetrading.fun/blog/first-ai-trading-bot-ema-cross-alpaca,,,,,,,,
P2,https://vibetrading.fun/blog/first-bot-should-be-simple-ema-cross,,,,,,,,
P2,https://vibetrading.fun/blog/free-vs-paid-market-data,,,,,,,,
P2,https://vibetrading.fun/blog/how-to-backtest-without-overfitting,,,,,,,,
P2,https://vibetrading.fun/blog/minimum-viable-python-stack-trading,,,,,,,,
P2,https://vibetrading.fun/blog/overfitting-vs-robustness-trading,,,,,,,,
P2,https://vibetrading.fun/blog/paper-to-live-trading-checklist,,,,,,,,
P2,https://vibetrading.fun/blog/retail-vs-institutional-ai-trading,,,,,,,,
P2,https://vibetrading.fun/blog/what-retail-ai-trading-can-and-cannot-do,,,,,,,,
P2,https://vibetrading.fun/blog/win-rate-vs-expectancy,,,,,,,,
P3,https://vibetrading.fun/blog/backtrader-vs-vectorbt-python,,,,,,,,
P3,https://vibetrading.fun/blog/best-ai-trading-youtube-channels-2026,,,,,,,,
P3,https://vibetrading.fun/blog/convert-youtube-strategy-to-backtest,,,,,,,,
P3,https://vibetrading.fun/blog/finrl-vs-stable-baselines3-trading,,,,,,,,
P3,https://vibetrading.fun/blog/freqtrade-ml-freqai-guide,,,,,,,,
P3,https://vibetrading.fun/blog/freqtrade-vs-hummingbot-crypto,,,,,,,,
P3,https://vibetrading.fun/blog/how-to-spot-fake-ai-trading-youtube,,,,,,,,
P3,https://vibetrading.fun/blog/hummingbot-avellaneda-market-making,,,,,,,,
P3,https://vibetrading.fun/blog/jesse-ai-trading-framework-guide,,,,,,,,
P3,https://vibetrading.fun/blog/lean-cli-python-factor-strategy,,,,,,,,
P3,https://vibetrading.fun/blog/lumibot-stocks-options-backtest,,,,,,,,
P3,https://vibetrading.fun/blog/nautilus-trader-beginner-guide,,,,,,,,
P3,https://vibetrading.fun/blog/openbb-alpaca-live-data-pipeline,,,,,,,,
P3,https://vibetrading.fun/blog/openbb-vs-bloomberg-terminal-retail,,,,,,,,
P3,https://vibetrading.fun/blog/paper-trade-youtube-strategy-alpaca,,,,,,,,
P3,https://vibetrading.fun/blog/quantconnect-vs-backtrader-vs-alpaca-vs-mql5,,,,,,,,
P3,https://vibetrading.fun/blog/superalgos-crypto-automation-guide,,,,,,,,
P3,https://vibetrading.fun/blog/tradingagents-vs-ai-hedge-fund,,,,,,,,
P3,https://vibetrading.fun/blog/youtube-ai-trading-playlist-curated,,,,,,,,
